titulo;link;subtitulo
Rebelião em presídio de segurança máxima tem policial refém no Acre;https://g1.globo.com/ac/acre/noticia/2023/07/26/urgente-detentos-se-rebelam-em-presidio-de-seguranca-maxima-em-rio-branco.ghtml;Outro agente penitenciário ficou ferido.
'Vejo Padre Airton se masturbando', diz outra mulher que denunciou estupro;https://g1.globo.com/pe/pernambuco/noticia/2023/07/26/toda-vez-que-eu-olho-para-um-padre-vejo-padre-airton-se-masturbando-diz-outra-mulher-que-denunciou-estupro.ghtml;
Como funcionam as canetas que combatem diabetes e obesidade;https://g1.globo.com/saude/noticia/2023/07/26/semaglutida-e-liraglutida-entenda-como-as-canetas-contra-obesidade-agem-no-corpo-e-seus-riscos.ghtml;
Caso Marielle: PF desconfia de versão do delator sobre submetralhadora;https://g1.globo.com/politica/blog/camila-bomfim/post/2023/07/26/caso-marielle-pf-desconfia-de-versao-citada-por-delator-sobre-origem-de-arma-usada-no-crime.ghtml;Investigadores acreditam que Ronnie Lessa mentiu para Élcio Queiroz sobre a arma.
Nubank passa o BB em clientes e vira o 4º maior banco do Brasil;https://g1.globo.com/economia/negocios/noticia/2023/07/26/nubank-passa-o-banco-do-brasil-em-numero-de-clientes-e-se-torna-o-4o-maior-do-brasil.ghtml;
Queda de guindaste, morte de baleias, o café perfeito e mais VÍDEOS;https://g1.globo.com/playlist/videos-para-assistir-agora.ghtml;
Dilma se reúne com Putin como presidente do banco dos Brics;https://g1.globo.com/mundo/noticia/2023/07/26/dilma-se-reune-com-vladimir-putin-na-russia.ghtml;Brasileira negou que instituição esteja considerando financiar novos projetos na Rússia.
